game,time,actions
1,0,7
1,1,2
1,2,0
1,3,0
1,4,39
1,5,89
1,6,101
1,7,126
1,8,99
1,9,67
1,10,40
1,11,84
1,12,85
1,13,95
1,14,112
1,15,91
1,16,38
1,17,165
1,18,48
1,19,112
1,20,97
1,21,107
1,22,3
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
2,0,11
2,1,3
2,2,294
2,3,208
2,4,105
2,5,101
2,6,138
2,7,49
2,8,123
2,9,155
2,10,99
2,11,144
2,12,58
2,13,82
2,14,149
2,15,122
2,16,115
2,17,168
2,18,339
2,19,506
2,20,92
2,21,134
2,22,245
2,23,143
2,24,139
2,25,34
2,26,145
2,27,300
2,28,162
2,29,25
2,30,101
2,31,0
2,32,0
2,33,0
2,34,0
2,35,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,43,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
3,0,26
3,1,12
3,2,43
3,3,134
3,4,165
3,5,139
3,6,136
3,7,145
3,8,105
3,9,107
3,10,115
3,11,123
3,12,126
3,13,125
3,14,100
3,15,146
3,16,123
3,17,146
3,18,130
3,19,120
3,20,171
3,21,54
3,22,90
3,23,132
3,24,127
3,25,103
3,26,128
3,27,45
3,28,72
3,29,41
3,30,136
3,31,68
3,32,99
3,33,173
3,34,126
3,35,19
3,36,143
3,37,65
3,38,108
3,39,41
3,40,114
3,41,81
3,42,170
3,43,65
3,44,2
3,45,0
3,46,0
3,47,0
3,48,0
3,49,0
3,50,0
4,0,21
4,1,20
4,2,65
4,3,171
4,4,199
4,5,171
4,6,106
4,7,115
4,8,182
4,9,185
4,10,159
4,11,64
4,12,194
4,13,182
4,14,191
4,15,192
4,16,169
4,17,86
4,18,107
4,19,175
4,20,82
4,21,88
4,22,69
4,23,125
4,24,151
4,25,110
4,26,98
4,27,79
4,28,115
4,29,80
4,30,63
4,31,109
4,32,8
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
5,0,2
5,1,38
5,2,41
5,3,100
5,4,197
5,5,208
5,6,190
5,7,202
5,8,230
5,9,165
5,10,54
5,11,196
5,12,180
5,13,157
5,14,75
5,15,110
5,16,193
5,17,156
5,18,140
5,19,50
5,20,138
5,21,117
5,22,155
5,23,70
5,24,96
5,25,85
5,26,131
5,27,135
5,28,51
5,29,166
5,30,128
5,31,114
5,32,92
5,33,76
5,34,114
5,35,45
5,36,117
5,37,209
5,38,151
5,39,34
5,40,154
5,41,8
5,42,14
5,43,0
5,44,0
5,45,0
5,46,0
5,47,0
5,48,0
5,49,0
5,50,0